,center,represents,cluster_size,avg_breakout_size,std_breakout_size,type
0,抖音,抖音 最右 头条 快手 dy,318,438.6289308,343.7873146,其他平台
1,电影,电影 电影院,251,547.3346614,645.4223852,IP
2,rip,rip a神 逝者安息 科比 mj,230,1611.378261,3171.004026,事件
3,高考,高考 中考 高三 考研 考试,213,425.7840376,408.2215986,主题
4,情人节,情人节 中秋 七夕 新婚 生辰,212,595.3584906,774.5997102,主题
5,原唱,原唱 翻唱 原版 原曲 回音哥,207,412.5217391,318.1001396,主题
6,初中,初中 高中 小学 中学 年前,183,448.1912568,438.3897529,主题
7,哥哥,哥哥 张国荣 张先生 leslie,176,696.8068182,1177.339493,人物
8,薛之谦,薛之谦 周杰伦 邓紫棋 李荣浩 林宥嘉,171,498.9415205,429.0999108,人物
9,热搜,热搜,162,611.8950617,548.0379775,其他平台
10,天堂,天堂,154,1937.162338,3533.984381,事件
11,微博,微博 知乎 动态 ins 榜姐,146,474.7534247,499.4935046,其他平台
12,前奏,前奏 旋律 开头 副歌 第秒,137,520.2773723,717.6872093,主题
13,粉丝,粉丝 水军 歌迷 黑粉 黑子,130,667.9307692,1059.069266,主题
14,许嵩,许嵩 汪苏泷 张杰 嵩哥 徐良,129,552.4418605,866.8261354,人物
15,北京,北京 南京 重庆 成都 合肥,127,431.8188976,314.1029827,主题
16,中国,中国 国人,122,528.8606557,698.6964832,主题
17,结婚,结婚 离婚 婚礼 伴郎 订婚,113,358.3716814,190.5635422,主题
18,封面,封面 头像,112,361.6339286,298.6204888,主题
19,恭喜,恭喜 祝贺,110,458.9090909,366.153856,事件
20,抄袭,抄袭 侵权 维权 授权 裁缝,107,595.2523364,659.8008492,事件
21,妈妈,妈妈 爸爸 母亲 外婆 爸妈,105,520.7619048,578.4427786,主题
22,任素,任素 黄龄 白百何 周笔畅 张家辉,104,396.5480769,296.2964303,人物
23,现场,现场 演唱会 音乐节 live 巡演,101,413.0693069,306.9595793,事件
24,a妹,a妹 霉霉 火星哥 比伯 卡妹,96,423.5520833,367.0534665,人物
25,电视剧,电视剧 小说 盗墓笔记 东宫 仙剑,94,437.4893617,305.510725,IP
26,毛不易,毛不易 陈粒 赵雷 春花 朴树,93,563.5698925,585.6454099,人物
27,老师,老师 英语老师,93,534.9784946,519.2735202,主题
28,版本,版本 女生版 插电,89,460.9550562,435.8092282,主题
29,祝福,祝福 祝你们,86,465.6976744,394.5377062,事件
30,新飞,新飞 pick ninepercent kiki 孟美岐,86,525.0697674,506.766856,人物
31,说唱,说唱 rap 有嘻哈,85,530.1882353,550.1849848,
32,ky,ky 招黑 劝删 大名 别刷,85,462.5529412,319.3434627,
33,孙燕姿,孙燕姿 lala 萧亚轩 杨丞琳 田馥甄,84,695.452381,1061.0959,
34,肖战,肖战 千玺 鹿晗 农农 王博,81,562.617284,541.5916545,
35,吴亦凡,吴亦凡 diss rapper 砍死 马思唯,81,608.7901235,1194.20481,
36,大学,大学 学校,79,393.1392405,381.4124229,
37,视频,视频 剪辑,77,434.2467532,382.4796797,
38,豆芽,豆芽 福克斯 法老 杨和苏 flow,63,550.1904762,588.4902356,
39,格莱美,格莱美 b榜 slay 空降 猴西,62,418.6774194,349.7596306,
40,creeper,creeper ac d站 雷军 阿卡,57,398.4385965,272.7498705,
41,节目,节目 明日之子 跑男 综艺节目 小品,55,396.1272727,330.9736081,
42,祖国,祖国 国家 昌盛 中华民族,54,988.2037037,1532.174132,
43,愚人节,愚人节,53,637.6415094,557.8291513,
44,新歌声,新歌声 中餐厅 朱龙 td 刘怡潼,46,461.5434783,447.2005049,
45,小宇,小宇 沈以诚 焦迈奇 徐秉龙 hsh,45,391.6888889,264.1739176,
46,时光,时光 岁月,42,410.5,267.4320786,
47,星星,星星 最亮 夜空,39,463.3846154,310.8872015,
48,同学,同学 同桌 闺蜜 室友 前桌,35,332.1428571,143.7454383,
49,介猴,介猴 伯伯 恭送 王师傅 黄鹤,34,421.4117647,318.8342846,
50,裤带,裤带 白糖 e% 几刚 状元郎,33,454.2727273,414.8144728,
51,明白,明白 懂得,32,359.90625,206.0764966,
52,必胜,必胜 考场 百日 倒计时 祈福,31,419.1612903,188.551199,
53,老大,老大,31,920.6451613,1071.525941,
54,黄家驹,黄家驹 林肯公园 小红莓 家驹 陈百强,28,1345.964286,2559.261172,
55,小哥哥,小哥哥 小哥 大叔,28,472.8571429,382.0226914,
56,梦里,梦里 梦见 做梦,27,333,235.5908255,
