,center_text,b_size
0,抖音,244
1,抖音,870
2,抖音,883
3,抖音,354
4,抖音,505
5,抖音,280
6,抖音,301
7,抖音,253
8,抖音,210
9,抖音,305
10,抖音,258
11,抖音,202
12,抖音,234
13,抖音,301
14,抖音,1075
15,抖音,202
16,抖音,317
17,抖音,1860
18,抖音,201
19,抖音,438
20,抖音,258
21,抖音,2105
22,抖音,214
23,抖音,476
24,抖音,386
25,抖音,319
26,抖音,1416
27,抖音,374
28,抖音,364
29,抖音,273
30,抖音,294
31,抖音,245
32,抖音,686
33,抖音,294
34,抖音,688
35,抖音,401
36,抖音,1095
37,抖音,204
38,抖音,344
39,抖音,256
40,抖音,365
41,抖音,278
42,抖音,592
43,抖音,269
44,抖音,479
45,抖音,329
46,抖音,219
47,抖音,592
48,抖音,236
49,抖音,354
50,抖音,427
51,抖音,325
52,抖音,601
53,抖音,695
54,抖音,221
55,抖音,271
56,抖音,215
57,抖音,319
58,抖音,207
59,抖音,264
60,抖音,272
61,抖音,1057
62,抖音,233
63,抖音,379
64,抖音,248
65,抖音,639
66,抖音,231
67,抖音,249
68,抖音,719
69,抖音,250
70,抖音,473
71,抖音,2037
72,抖音,296
73,抖音,295
74,抖音,338
75,抖音,231
76,抖音,562
77,抖音,459
78,抖音,220
79,抖音,201
80,抖音,236
81,抖音,228
82,抖音,234
83,抖音,334
84,抖音,265
85,抖音,836
86,抖音,340
87,抖音,221
88,抖音,708
89,抖音,682
90,抖音,209
91,抖音,253
92,抖音,389
93,抖音,293
94,抖音,239
95,抖音,323
96,抖音,240
97,抖音,644
98,抖音,220
99,抖音,351
100,抖音,683
101,抖音,312
102,抖音,429
103,抖音,207
104,抖音,247
105,抖音,213
106,抖音,848
107,抖音,450
108,抖音,288
109,抖音,1275
110,抖音,464
111,抖音,849
112,抖音,2534
113,抖音,251
114,抖音,638
115,抖音,285
116,抖音,214
117,抖音,316
118,抖音,256
119,抖音,250
120,抖音,429
121,抖音,464
122,抖音,318
123,抖音,285
124,抖音,267
125,抖音,251
126,抖音,449
127,抖音,441
128,抖音,296
129,抖音,334
130,抖音,286
131,抖音,1113
132,抖音,262
133,抖音,214
134,抖音,842
135,抖音,379
136,抖音,652
137,抖音,903
138,抖音,387
139,抖音,683
140,抖音,328
141,抖音,218
142,抖音,395
143,抖音,248
144,抖音,220
145,抖音,255
146,抖音,272
147,抖音,1757
148,抖音,1151
149,抖音,750
150,抖音,478
151,抖音,266
