['1354477597-2', 10, ['好听', '喜欢', '加油', '好好', '支持', '不错', '声音', '评论', '打卡', '亲亲']]
['471754946-0', 10, ['喜欢', '开口', '爱心', '声音', '好听', '好好', '大哭', '亲亲', '加油', '评论']]
['516654052-2', 10, ['好听', '喜欢', '加油', '评论', '发现', '声音', '打卡', '好好', '音乐', '歌词']]
['1295335891-1', 9, ['好听', '喜欢', '日推', '亲亲', '评论', '爱心', '好好', '打卡', '声音', '不错']]
['1310671195-0', 9, ['好听', '喜欢', '爱心', 'cool', '好好', '亲亲', '加油', '开头', '开口', '打卡']]
['1311751334-1', 9, ['好听', '喜欢', '好好', '评论', '亲亲', '留名', '日推', '单曲循环', '耳朵', '怀孕']]
['1312166677-0', 9, ['李佳丹', '好听', '喜欢', '不错', '支持', '加油', '声音', '评论', '歌词', '歌曲']]
['1313558126-0', 9, ['喜欢', '好听', '爱心', 'cool', '发怒', '开口', '亲亲', '评论', '大哭', '打卡']]
['1325042822-1', 9, ['喜欢', '好听', '亲亲', '加油', '评论', '好好', '日推', '爱心', '不错', '声音']]
['1332536784-0', 9, ['喜欢', '好听', '不错', '支持', '活动', '歌曲', '歌词', '厉害', '好好', '加油']]
['1335387414-0', 9, ['喜欢', '好听', '不错', '支持', '活动', '音乐', '评论', '好好', '歌曲', '厉害']]
['1341205089-0', 9, ['好听', '龚乙泰', '喜欢', '不错', '加油', '支持', '声音', '评论', '音乐', '歌曲']]
['1343422082-0', 9, ['好听', '加油', '歌词', '评论', '宝藏', '开口', '积分', '喜欢', '发现', '火钳刘明']]
['1344409334-0', 9, ['好听', '喜欢', '打卡', '亲亲', '不错', '评论', '发现', '日推', '加油', '遇见']]
['1345707940-0', 9, ['喜欢', '好听', '声音', '歌曲', '单曲循环', '听到', '恋爱', '评论', '音乐', '超级']]
['1347374715-0', 9, ['加油', '歌词', '喜欢', '大年', '声音', '好听', '支持', '生活', '好好', '超级']]
