['516654052-2', 10, ['好听', '喜欢', '加油', '评论', '发现', '声音', '打卡', '好好', '音乐', '歌词']]
['1312166677-0', 9, ['李佳丹', '好听', '喜欢', '不错', '支持', '加油', '声音', '评论', '歌词', '歌曲']]
['1332536784-0', 9, ['喜欢', '好听', '不错', '支持', '活动', '歌曲', '歌词', '厉害', '好好', '加油']]
['1335387414-0', 9, ['喜欢', '好听', '不错', '支持', '活动', '音乐', '评论', '好好', '歌曲', '厉害']]
['1341205089-0', 9, ['好听', '龚乙泰', '喜欢', '不错', '加油', '支持', '声音', '评论', '音乐', '歌曲']]
['1343422082-0', 9, ['好听', '加油', '歌词', '评论', '宝藏', '开口', '积分', '喜欢', '发现', '火钳刘明']]
['1344409334-0', 9, ['好听', '喜欢', '打卡', '不错', '评论', '发现', '日推', '加油', '遇见', '声音']]
['1345707940-0', 9, ['喜欢', '好听', '声音', '歌曲', '单曲循环', '听到', '恋爱', '评论', '音乐', '超级']]
['1347374715-0', 9, ['加油', '歌词', '喜欢', '大年', '声音', '好听', '支持', '生活', '好好', '超级']]
['1347873607-2', 9, ['好听', '喜欢', '加油', '支持', '不错', '歌曲', '好好', '日推', '音乐', '听到']]
['1352302716-0', 9, ['好听', '喜欢', '好好', '加油', '日推', '笔芯', '评论', '打卡', '不错', '音乐']]
['1354477597-2', 9, ['好听', '喜欢', '加油', '好好', '支持', '不错', '声音', '评论', '打卡', '日推']]
['1355897775-0', 9, ['喜欢', '歌曲', '好听', '声音', '加油', '小姐姐', '支持', '音乐', '听到', '不错']]
['1362147366-0', 9, ['宝藏', '好听', '发现', '歌词', '好好', '加油', '积分', '评论', '喜欢', '歌曲']]
['188459-5', 9, ['喜欢', '好听', '不错', '活动', '支持', '音乐', '歌曲', '评论', '加油', '好好']]
['409031516-0', 9, ['喜欢', '好听', '支持', '加油', '音乐', '不错', '歌曲', '声音', '评论', '故事']]
['446935665-0', 9, ['好听', '前排', '厉害', '支持', '不错', '名字', '喜欢', '火钳刘明', '留名', '加油']]
['476387276-0', 9, ['喜欢', '好听', '前奏', '前排', '评论', '单曲循环', '不错', '加油', '听到', '声音']]
