tag count
流行 10539
华语 7360
欧美 7057
说唱 3957
治愈 3211
夜晚 2672
经典 2276
电子 2214
民谣 2057
榜单 1982
放松 1790
伤感 1695
网络歌曲 1639
孤独 1608
浪漫 1560
怀旧 1413
快乐 1325
影视原声 1260
学习 1234
轻音乐 1218
摇滚 1193
清新 1158
日语 1123
90后 1114
兴奋 918
安静 900
R&B/Soul 854
翻唱 839
古风 820
new_age 781
旅行 771
舞曲 753
00后 726
思念 696
酒吧 678
钢琴 650
游戏 649
散步 645
ACG 547
驾车 523
感动 506
韩语 457
运动 457
校园 380
世界音乐 346
粤语 330
性感 320
后摇 302
综艺 282
清晨 252
小语种 202
金属 199
另类/独立 168
午休 158
古典 132
工作 126
吉他 104
80后 95
KTV 94
蓝调 83
下午茶 83
乡村 70
70后 68
朋克 62
爵士 33
地铁 27
英伦 15
民族 10
器乐 1
others 38424
